DATE,A939RX0Q048SBEA
2012-04-01,0.27735
2012-07-01,-0.03481
2012-10-01,-0.09674
2013-01-01,0.70496
2013-04-01,-0.03077
2013-07-01,0.58097
2013-10-01,0.49728
2014-01-01,-0.52908
2014-04-01,1.09823
2014-07-01,0.94625
2014-10-01,0.23247
2015-01-01,0.63968
2015-04-01,0.39958
2015-07-01,0.11107
2015-10-01,-0.06657
2016-01-01,0.41077
2016-04-01,0.12346
2016-07-01,0.39570
2016-10-01,0.30248
2017-01-01,0.31985
2017-04-01,0.40445
2017-07-01,0.53891
2017-10-01,0.77065
2018-01-01,0.63938
2018-04-01,0.70117
2018-07-01,0.32517
2018-10-01,0.07574
2019-01-01,0.49284
2019-04-01,0.67784
2019-07-01,0.53758
2019-10-01,0.32532
2020-01-01,-1.40056
2020-04-01,-8.98102
2020-07-01,7.49938
2020-10-01,1.07271
2021-01-01,1.54246
2021-04-01,1.62007
2021-07-01,0.48684
2021-10-01,1.59334
